n,lf model,hf iter,lf iter,mf iter,mf score,mf mass,mf EI,hf score,hf mass,hf EI,lf score,lf mass,lf EI,hf time,lf time,mf time,sparse
1,unit,50,50,50,6.460858396,0.033209223,1346320.992,3.157434649,0.052328127,2435990.381,,,,19.69632888,17.42191911,27.95989299,FALSE
1,equiv_cant,50,50,100,4.627077499,0.041057847,1790183.462,2.004817541,0.100436146,3443073.977,,,,19.72990489,14.78589106,36.84390283,FALSE
1,unit,50,50,100,2.331253563,0.0756419,3071619.417,1.290571149,0.097308617,4559417.695,,,,22.2828548,19.02179694,72.89892197,FALSE
1,unit,50,50,200,4.891320689,0.059541259,1714742.493,1.549945972,0.078047164,4045473.047,,,,27.3715682,21.56560087,154.2329459,FALSE
1,equiv_cant,50,50,400,2.211317473,0.089096403,3202848.157,2.211317473,0.089096403,3202848.157,,,,23.41427994,11.43935299,367.5803587,FALSE
1,unit,50,50,400,1.545354533,0.081939193,4059404.777,1.043435503,0.091342475,5122706.682,,,,20.32727885,20.82284689,563.8314948,FALSE
1,equiv_cant,50,100,50,1.832652787,0.082637022,3636342.79,1.832652787,0.082637022,3636342.79,,,,18.65917492,26.52406383,26.44913507,FALSE
1,unit,50,100,50,7.106624684,0.040260149,1239715.854,7.106624684,0.040260149,1239715.854,,,,27.657094,46.93176103,30.43325901,FALSE
1,equiv_cant,50,100,100,1.85113291,0.07596885,3603390.569,1.85113291,0.07596885,3603390.569,,,,21.85325384,35.90682912,92.41227484,FALSE
1,unit,50,100,100,4.529154101,0.068875375,1831408.34,2.543516159,0.084905165,2891334.127,,,,19.08254004,35.46173596,66.5376122,FALSE
1,equiv_cant,10,20,50,3.832217518,0.044690536,2088761.074,2.620034821,0.067663661,2815021.164,,,,4.892163992,5.523698807,12.45914292,FALSE
1,unit,10,20,50,79.02107909,0.077118498,125087.6229,1.369912748,0.083433881,4373537.032,,,,5.943846941,10.87723112,20.22537804,FALSE
1,equiv_cant,10,20,50,5.385691633,0.06104756,1581116.642,6.252773081,0.047178147,1387810.457,,,,5.344280958,5.377028227,25.98160696,FALSE
1,unit,10,20,50,2.129787649,0.055624039,3252917.303,4.57114555,0.045712273,1809812.823,,,,5.202976942,4.239201069,22.45471001,FALSE
1,equiv_cant,10,20,100,17.41973282,0.072951452,545054.7319,1.377606335,0.059073452,4313072.32,,,,5.026454926,4.572752953,54.67444897,FALSE
1,unit,10,20,100,10.2045217,0.090675371,899778.5019,1.307971912,0.103983072,4537228.056,,,,6.578168631,8.468795061,53.22451305,FALSE
1,equiv_cant,10,20,200,8.25696241,0.060835323,1087414.289,1.975435244,0.053116476,3421940.176,,,,4.766036987,4.914784908,140.4457102,FALSE
1,unit,10,20,200,4.532891395,0.043797729,1821794.381,3.049656105,0.037964755,2492714.202,,,,4.716618061,6.797626019,156.4297142,FALSE
1,equiv_cant,10,20,50,8.676833583,0.051037719,1038875.137,1.686078826,0.06314446,3812523.916,6.575182954,0.101595006,1338045.403,4.775240898,4.18796587,17.33512211,FALSE
1,equiv_cant,10,20,50,18.63094963,0.077777208,511425.9611,6.243267109,0.040953145,1388442.666,119.3770992,0.101467984,83142.3614,3.45805192,4.961288929,14.93732619,FALSE
1,unit,10,20,50,7.568109121,0.057736151,1175036.633,4.521050503,0.035753443,1823055.322,0.95258479,0.102422409,5404930.995,4.460189819,5.689175844,11.63398218,FALSE
1,unit,10,20,100,470.4210794,0.079177605,21216.02166,3.902738125,0.047725433,2059726.85,6.290123385,0.049611285,1381117.78,2.797682047,7.535753965,28.29932404,FALSE
1,equiv_cant,10,20,200,11.85339822,0.069956994,782261.9766,4.853747856,0.052338304,1723719.022,2.3020311,0.121555039,3144183.39,3.604132175,5.179313898,82.42613721,FALSE
1,equiv_cant,10,50,50,9.653259871,0.065761089,944510.1441,1.701876467,0.092038428,3831655.394,1.801140407,0.115691918,3723772.785,4.914031982,10.300282,18.38147688,FALSE
1,equiv_cant,10,20,50,30.66890805,0.021515321,315981.7962,2.410272087,0.096124867,3017367.466,10.77789347,0.089790002,855570.7973,4.29552412,5.518108845,14.6005249,FALSE
1,unit,10,20,50,15.38068618,0.060737751,612747.0344,1.959090379,0.096381828,3493195.28,1.659937044,0.064939229,3853567.791,4.901540279,4.747106791,11.97409105,FALSE
1,equiv_cant,10,20,100,3.407617386,0.058941092,2299550.328,1.903357728,0.081434943,3543683.071,2.40883417,0.111389386,3032651.236,2.903410912,3.788925886,44.10894799,FALSE
1,unit,10,20,100,11.04476317,0.05024137,833713.9376,3.215241667,0.046247202,2398659.937,3.603026029,0.054518047,2198523.129,3.366272926,8.06444478,42.22091413,FALSE
1,equiv_cant,10,20,200,13.56498737,0.052103826,689042.9438,5.520798454,0.064665541,1548914.828,11.57267812,0.096443919,801523.9085,4.210326195,5.131035089,134.1888418,FALSE
1,unit,10,20,200,51.81167901,0.024116944,189438.5649,7.123945034,0.037648,1236659.989,8.19956803,0.070019355,1095344.398,5.059335947,6.264168739,127.0038249,FALSE
1,equiv_cant,10,50,50,4.138528984,0.072829411,1974061.007,2.752490161,0.086519404,2727790.444,6.96854653,0.109448988,1272410.725,4.778212309,13.71406889,14.787359,FALSE
1,unit,10,50,50,15.01980826,0.057645898,626481.5363,5.306346437,0.070979653,1603754.895,2.339500509,0.100694299,3087557.375,6.122272968,26.73039317,26.63359308,FALSE
1,equiv_cant,10,50,100,7.4007269,0.05870661,1198750.381,2.749010513,0.070313507,2718353.804,4.199632883,0.112702213,1965821.956,3.301329136,16.73391914,42.62557983,FALSE
1,equiv_cant,10,50,200,721.313037,0.046137384,13845.29736,4.625271725,0.040316732,1790524.724,3.840990006,0.101181988,2109790.093,6.065118074,11.84156084,100.2322018,FALSE
1,unit,10,50,200,65.76365588,0.060852013,149918.7353,4.051325261,0.043545163,1996892.796,5.783288605,0.075578079,1490821.639,4.085131884,22.19628501,102.318363,FALSE
1,equiv_cant,10,100,50,7.381517132,0.027053152,1196964.883,4.287857277,0.05335199,1910400.21,7.362657313,0.089692202,1208756.457,7.115588903,33.44884515,36.43076015,FALSE
1,equiv_cant,10,100,100,1212.761544,0.057300989,8239.239548,1.980431394,0.052492889,3415372.278,1.554610902,0.135289317,4133390.146,5.39556694,34.10323882,51.55791903,FALSE
1,unit,10,100,100,12.36862505,0.063906069,751613.0188,2.560789589,0.076381501,2869927.904,237.1382182,0.097154603,42009.55856,3.764899254,36.55310917,44.69380689,FALSE
